Ship Mode,Region,Origin_Factory,Distance_Miles,Units,Delivery_Time_Days
Second Class,Atlantic,Wicked Choccy's,981.9658789246068,3,5
Standard Class,Atlantic,Lot's O' Nuts,2142.2345958934734,4,5
Standard Class,Pacific,Lot's O' Nuts,386.83003298734036,4,7
Second Class,Interior,Lot's O' Nuts,1693.7600129047557,6,5
Standard Class,Pacific,Lot's O' Nuts,1161.621416898878,2,5
Standard Class,Pacific,Wicked Choccy's,2399.7166796329857,6,5
First Class,Pacific,Lot's O' Nuts,1161.1671330014183,3,1
Standard Class,Pacific,Wicked Choccy's,2153.343062292087,1,6
Second Class,Gulf,Lot's O' Nuts,1945.7930623623056,1,5
Standard Class,Atlantic,Lot's O' Nuts,2142.2345958934734,2,7
Standard Class,Interior,Wicked Choccy's,721.7896136266195,6,7
Standard Class,Interior,Wicked Choccy's,721.7896136266195,2,7
Standard Class,Atlantic,Lot's O' Nuts,2144.332624357945,9,5
Standard Class,Interior,Lot's O' Nuts,1456.7435840913759,5,7
Standard Class,Interior,The Other Factory,480.27404256651266,1,6
Standard Class,Interior,Lot's O' Nuts,1456.7435840913759,5,5
Standard Class,Interior,Wicked Choccy's,762.959591962414,4,6
First Class,Atlantic,Lot's O' Nuts,2078.6537691730177,6,2
Standard Class,Pacific,The Other Factory,1868.0504829873864,1,6
Standard Class,Pacific,Lot's O' Nuts,1161.621416898878,6,6
Standard Class,Pacific,Wicked Choccy's,2149.918618478605,1,6
Standard Class,Atlantic,Wicked Choccy's,716.1677373489346,6,5
Standard Class,Pacific,Wicked Choccy's,1434.6056907430914,4,5
Second Class,Interior,Lot's O' Nuts,976.3720918916192,2,4
Standard Class,Pacific,Lot's O' Nuts,1160.0360575936345,3,6
Second Class,Pacific,Lot's O' Nuts,666.3502697955577,3,3
Standard Class,Pacific,Wicked Choccy's,2401.64471699006,3,5
Second Class,Atlantic,Wicked Choccy's,534.7901065128382,9,3
Standard Class,Pacific,Lot's O' Nuts,1161.621416898878,5,7
Standard Class,Atlantic,Lot's O' Nuts,2141.889502951955,5,7
Same Day,Atlantic,Wicked Choccy's,719.4714404454609,2,0
Second Class,Interior,Lot's O' Nuts,974.171375665286,2,5
Second Class,Atlantic,Lot's O' Nuts,2132.690741639491,5,4
First Class,Pacific,Wicked Choccy's,2157.0150241557785,6,2
Second Class,Atlantic,Lot's O' Nuts,2132.690741639491,5,5
Standard Class,Atlantic,Lot's O' Nuts,2294.1686914408388,4,6
Standard Class,Interior,Lot's O' Nuts,1694.5618193694925,4,6
Second Class,Atlantic,Wicked Choccy's,642.6091033973505,1,5
Second Class,Pacific,Lot's O' Nuts,1161.621416898878,10,4
Standard Class,Pacific,Lot's O' Nuts,35.76462466051731,2,7
Same Day,Atlantic,Wicked Choccy's,721.4927883494037,7,0
Standard Class,Atlantic,Wicked Choccy's,715.9906920347423,3,7
Standard Class,Atlantic,Wicked Choccy's,648.3996650483631,2,5
Second Class,Pacific,Wicked Choccy's,2354.810683422382,3,5
Standard Class,Pacific,Lot's O' Nuts,1160.0360575936345,2,5
Standard Class,Pacific,Lot's O' Nuts,318.25023703183496,5,7
Standard Class,Pacific,Lot's O' Nuts,688.6445560617491,4,7
Standard Class,Atlantic,Wicked Choccy's,884.4800459788928,2,5
Second Class,Atlantic,Lot's O' Nuts,2078.6537691730177,3,3
First Class,Interior,Lot's O' Nuts,1456.7435840913759,4,1
Second Class,Atlantic,Wicked Choccy's,719.4714404454609,10,4
Standard Class,Pacific,Lot's O' Nuts,385.46609669761943,4,5
First Class,Interior,Lot's O' Nuts,864.2514931058013,2,2
Standard Class,Pacific,Lot's O' Nuts,310.95584243632794,6,6
First Class,Interior,Wicked Choccy's,871.491412618307,1,2
Second Class,Atlantic,Lot's O' Nuts,2144.332624357945,3,4
Second Class,Pacific,Lot's O' Nuts,688.8830311589684,14,3
Standard Class,Pacific,Lot's O' Nuts,687.4765257830043,2,6
Second Class,Interior,Wicked Choccy's,1102.9544231479392,5,3
Second Class,Pacific,Lot's O' Nuts,1160.0360575936345,1,4
Second Class,Pacific,Wicked Choccy's,2399.6650051013826,2,5
Second Class,Pacific,Lot's O' Nuts,1161.621416898878,3,5
First Class,Pacific,Secret Factory,1583.5965399618274,2,2
First Class,Interior,Lot's O' Nuts,976.3720918916192,7,1
Second Class,Interior,Lot's O' Nuts,1421.841918792565,2,5
Standard Class,Atlantic,Wicked Choccy's,716.1677373489346,7,7
First Class,Gulf,Lot's O' Nuts,1913.3032897651622,1,2
Standard Class,Atlantic,Lot's O' Nuts,2140.8841370533396,4,5
Standard Class,Atlantic,Lot's O' Nuts,1751.7390327972034,3,6
Standard Class,Interior,Lot's O' Nuts,836.0234218716704,2,6
First Class,Pacific,Lot's O' Nuts,691.0837284069044,4,2
First Class,Pacific,Wicked Choccy's,2358.5047550682953,3,2
Standard Class,Atlantic,Lot's O' Nuts,981.9658789246068,5,6
Standard Class,Atlantic,Lot's O' Nuts,981.9658789246068,3,6
Standard Class,Gulf,Wicked Choccy's,127.59137146976987,4,6
Standard Class,Pacific,Lot's O' Nuts,385.46609669761943,6,5
Standard Class,Pacific,Wicked Choccy's,2399.7166796329857,1,7
First Class,Pacific,Lot's O' Nuts,387.99286355234057,2,2
First Class,Interior,Wicked Choccy's,907.5928549636905,2,2
Same Day,Pacific,Lot's O' Nuts,389.27048109890546,4,0
Second Class,Atlantic,Wicked Choccy's,719.4714404454609,2,4
First Class,Atlantic,Wicked Choccy's,642.6091033973505,3,2
Standard Class,Pacific,Lot's O' Nuts,385.46609669761943,2,6
Second Class,Atlantic,Wicked Choccy's,721.4927883494037,3,4
Second Class,Atlantic,Lot's O' Nuts,1696.4970961549232,13,5
Standard Class,Pacific,Wicked Choccy's,2354.839579523309,14,7
Standard Class,Atlantic,Lot's O' Nuts,2080.3163308991593,3,6
Standard Class,Atlantic,Wicked Choccy's,640.4214007710173,1,7
Standard Class,Pacific,Lot's O' Nuts,386.83003298734036,7,5
First Class,Atlantic,Wicked Choccy's,716.1677373489346,3,2
First Class,Pacific,Wicked Choccy's,2149.918618478605,6,2
Standard Class,Gulf,Lot's O' Nuts,1945.9945320108393,6,5
Standard Class,Atlantic,Lot's O' Nuts,2079.993373016822,6,5
Standard Class,Pacific,Lot's O' Nuts,1160.0360575936345,3,6
Second Class,Atlantic,Lot's O' Nuts,2091.5568249854173,14,5
Standard Class,Atlantic,Wicked Choccy's,715.9906920347423,2,5
First Class,Atlantic,Lot's O' Nuts,2141.889502951955,3,2
Standard Class,Atlantic,Lot's O' Nuts,2141.889502951955,2,6
Same Day,Atlantic,Wicked Choccy's,716.1677373489346,2,0
Standard Class,Gulf,Lot's O' Nuts,1944.184743436591,4,5
Standard Class,Atlantic,Wicked Choccy's,715.9906920347423,6,5
First Class,Interior,Wicked Choccy's,723.6154536513862,2,1
Same Day,Gulf,The Other Factory,642.4976700570002,2,0
First Class,Interior,Lot's O' Nuts,976.3720918916192,4,1
Standard Class,Pacific,Wicked Choccy's,2147.2087400803284,13,7
Standard Class,Atlantic,Wicked Choccy's,715.9906920347423,3,5
First Class,Interior,Wicked Choccy's,723.6154536513862,2,1
Standard Class,Pacific,Lot's O' Nuts,1150.4366169508057,2,5
First Class,Pacific,Lot's O' Nuts,389.27048109890546,8,1
First Class,Interior,Lot's O' Nuts,1693.7600129047557,4,1
Standard Class,Interior,Secret Factory,858.1016966036319,7,5
Standard Class,Pacific,Wicked Choccy's,2139.912332310119,2,7
Second Class,Pacific,Wicked Choccy's,2149.918618478605,1,5
Standard Class,Pacific,Lot's O' Nuts,385.46609669761943,4,7
Standard Class,Pacific,Lot's O' Nuts,386.83003298734036,1,5
Second Class,Atlantic,Lot's O' Nuts,2141.889502951955,1,5
First Class,Interior,Lot's O' Nuts,1693.7600129047557,2,1
