Order Date,Product Name,Region,Units
2024-01-01,Wonka Bar - Fudge Mallows,Interior,6
2024-01-01,Wonka Bar -Scrumdiddlyumptious,Pacific,2
2024-01-01,Wonka Bar -Scrumdiddlyumptious,Atlantic,4
2024-01-01,Wonka Bar - Triple Dazzle Caramel,Interior,6
2024-01-01,Wonka Bar - Triple Dazzle Caramel,Atlantic,3
2024-01-01,Wonka Bar - Triple Dazzle Caramel,Pacific,6
2024-01-01,Wonka Bar - Nutty Crunch Surprise,Gulf,1
2024-01-01,Wonka Bar - Nutty Crunch Surprise,Atlantic,2
2024-01-01,Wonka Bar - Milk Chocolate,Pacific,1
2024-01-01,Wonka Bar - Milk Chocolate,Interior,2
2024-01-01,Wonka Bar - Nutty Crunch Surprise,Pacific,7
2024-01-02,Wonka Bar - Nutty Crunch Surprise,Interior,2
2024-01-02,Wonka Bar -Scrumdiddlyumptious,Pacific,6
2024-01-02,Wonka Bar -Scrumdiddlyumptious,Atlantic,9
2024-01-02,Wonka Bar - Triple Dazzle Caramel,Pacific,3
2024-01-02,Wonka Bar - Triple Dazzle Caramel,Interior,4
2024-01-02,Wonka Bar - Nutty Crunch Surprise,Pacific,6
2024-01-02,Wonka Bar - Nutty Crunch Surprise,Atlantic,6
2024-01-02,Wonka Bar - Milk Chocolate,Pacific,5
2024-01-02,Wonka Bar - Milk Chocolate,Atlantic,15
2024-01-02,Wonka Bar - Fudge Mallows,Pacific,5
2024-01-02,Wonka Bar - Fudge Mallows,Interior,10
2024-01-02,Wonka Bar - Fudge Mallows,Atlantic,5
2024-01-02,Kazookles,Pacific,1
2024-01-02,Kazookles,Interior,1
2024-01-03,Wonka Bar -Scrumdiddlyumptious,Interior,6
2024-01-03,Wonka Bar -Scrumdiddlyumptious,Atlantic,9
2024-01-03,Wonka Bar - Triple Dazzle Caramel,Atlantic,14
2024-01-03,Wonka Bar - Nutty Crunch Surprise,Pacific,10
2024-01-03,Wonka Bar - Milk Chocolate,Atlantic,1
2024-01-03,Wonka Bar - Fudge Mallows,Pacific,2
